set,om,biol,code,CMP,median_C,median_IACC,median_SBMSY,q25_C,q25_IACC,q25_SBMSY,q75_C,q75_IACC,q75_SBMSY
robustness,h1_0.16_cycle,CJM,tun44,PR-20,1591.22953121541,11.480268733505,1.11104219521513,846.075485053677,7.7633644796767,0.687697109411567,2343.5044685005,14.9639533952343,1.7191796565569
robustness,h1_0.16_cycle,CJM,tun45,HSsym,1600.22884173205,7.04966497350257,1.04576783287073,939.794410406767,1.93200706071437,0.544191188835443,2032.43160356663,11.0429327338675,1.79265378600688
robustness,h1_0.16_cycle,CJM,tun46,PRsym,1630.11662036093,10.9240217618978,1.11230163447363,877.609623179411,7.6297040073331,0.668941089204282,2309.00637895896,13.5874166574692,1.70858155621312
robustness,h1_0.16_cycle,CJM,tun47,HS-30,1602.59041163484,7.66238222507597,1.02407464847882,953.631510663095,1.95737431523729,0.548974567727268,2032.75528101319,12.3386735615099,1.76251305598146
robustness,h1_0.16_cycle,CJM,tun48,PR-30,1504.5997354411,12.5024882088401,1.12379483011214,833.609334593108,7.86489138907604,0.723151481384065,2258.43787013729,17.0348497406919,1.66738721658962
robustness,h1_0.16_lowrec,CJM,tun29,HS+20,1492.88207436979,8.87782336056823,1.12610664711449,984.424456255648,3.99035487887972,0.648861648294231,1956.7842070606,12.3915746842577,1.74639863979504
robustness,h1_0.16_lowrec,CJM,tun32,PR+20,1414.58748097687,12.3925387184373,1.20066469306168,880.685853822221,8.37843502158276,0.762215315657176,1969.13440431434,15.1594537967011,1.7388530129048
robustness,h1_0.16_lowrec,CJM,tun43,HS-20,1429.42784096699,8.94732256588016,1.1063615279469,922.068740764279,3.3605465863512,0.620308979168843,1972.53532745105,12.4384351576997,1.7085040304337
robustness,h1_0.16_lowrec,CJM,tun44,PR-20,1417.98426503494,12.5949359662136,1.2447817849895,848.744347232768,8.27029601160272,0.803313160914088,2038.31775203685,15.6556029724693,1.75645739260568
robustness,h1_0.16_lowrec,CJM,tun45,HSsym,1455.52104136795,8.71991510680601,1.12201056764393,958.375023466722,3.70013134297285,0.625449904672195,1972.22200156104,11.8726956370784,1.73294876957496
robustness,h1_0.16_lowrec,CJM,tun46,PRsym,1459.31244685957,11.5792552161862,1.18958865999037,884.270470272584,8.12349924150857,0.777577594437481,2007.41664247168,14.0832745017987,1.76153382090761
robustness,h1_0.16_lowrec,CJM,tun47,HS-30,1458.32591051179,9.33575317894182,1.13660986908918,973.402113093763,4.00203106279399,0.685143995889636,1961.05061633949,13.1241822938296,1.71218622066465
robustness,h1_0.16_lowrec,CJM,tun48,PR-30,1306.61567806087,14.3754660326408,1.26636211493382,797.777245767682,8.75646571838704,0.842760492875719,1966.88465358702,18.4473223009525,1.76727042579992
robustness,h1_0.16_selex,CJM,tun29,HS+20,1941.08832594168,2.57211764060184,1.10885303105028,807.874085689009,1.42833592598645,0.268580756774383,2038.21163860465,10.0628813474731,2.10000924236868
robustness,h1_0.16_selex,CJM,tun32,PR+20,1878.86197029691,10.0505541927049,1.0038101617718,956.230720728033,6.15924120444899,0.345953566365618,2520.77631214219,15.0169084052296,1.69318492175603
robustness,h1_0.16_selex,CJM,tun43,HS-20,1948.45941583619,2.30018099731053,1.0753766797731,693.253407214447,1.40620890952489,0.215200420971214,2039.01868313064,10.0679112205341,2.0699342734052
robustness,h1_0.16_selex,CJM,tun44,PR-20,1990.40762758949,10.4370136558304,1.06125404866982,945.405052822817,6.42838586356505,0.456035033975016,2700.92299234586,15.3980352534687,1.73335703752359
robustness,h1_0.16_selex,CJM,tun45,HSsym,1952.30341243969,2.32939075501328,1.12387241641953,786.538109293402,1.41124395944801,0.215759122074787,2038.7627233031,10.0397196687953,2.10596009771808
robustness,h1_0.16_selex,CJM,tun46,PRsym,1947.43519974576,10.1076722069609,1.03708639295635,955.099140704169,6.25344282521597,0.407617418090658,2639.72128403457,14.0716112055879,1.73903665597452
robustness,h1_0.16_selex,CJM,tun47,HS-30,1951.27383336785,2.47854010341855,1.09521883137653,775.829347223584,1.42099520015985,0.297364494627902,2038.79084387688,10.7893811506852,2.06616213504951
robustness,h1_0.16_selex,CJM,tun48,PR-30,1875.42633871927,10.639004979684,0.997312491385502,849.708999320739,6.31919646138536,0.450270147985478,2575.36038636147,17.3808701148405,1.66328532211677
robustness,h1_0.16h,CJM,tun29,HS+20,1476.42081663142,8.99327494641798,1.64344788106466,1019.49917263125,4.30717179775789,1.01128944179935,1935.14309753236,12.369191560487,2.51352880970255
robustness,h1_0.16h,CJM,tun32,PR+20,1369.38665153359,12.3003531269359,1.74017842238399,869.425282476375,8.27125435497743,1.15466611761298,1908.3131416743,15.0982010548048,2.43910941842498
robustness,h1_0.16h,CJM,tun43,HS-20,1459.71679210392,9.2830699533232,1.63341008067617,989.558630075967,4.28023603085836,1.00654396949895,1953.47088580243,12.8539206542004,2.49600773091512
robustness,h1_0.16h,CJM,tun44,PR-20,1339.6547757342,12.9605492594494,1.75806922933796,805.423224164359,8.40893907731857,1.20755237838824,1948.50060399168,15.4238093334719,2.4963116384757
robustness,h1_0.16h,CJM,tun45,HSsym,1460.30603709483,8.93970891963978,1.64161204147551,988.074009166246,4.18531702122147,1.0024316215034,1945.7627223934,12.1015441699091,2.50919503397354
robustness,h1_0.16h,CJM,tun46,PRsym,1409.22346959452,11.9359712353763,1.75694626933029,851.036371804949,8.20934091803676,1.14830228875541,1937.75760359019,14.0004121258435,2.49189286660306
robustness,h1_0.16h,CJM,tun47,HS-30,1474.44135441703,9.71989342312488,1.63667072918043,1011.66475272224,4.44221574621053,1.06760755974573,1948.16576196753,13.4737800342866,2.49903329170751
robustness,h1_0.16h,CJM,tun48,PR-30,1283.06014835677,14.689199694504,1.77043919716343,783.360264411361,8.87620805928148,1.23135311983405,1889.01005253183,18.3717081155358,2.51177719427186
robustness,h1_1.14,CJM,tun29,HS+20,1837.79197520951,5.99163816570774,2.11636471830838,1344.20646206517,1.93662619570228,1.38844836765509,2032.46292024945,9.63625052489148,3.224936921839
robustness,h1_1.14,CJM,tun32,PR+20,1773.0038108402,10.0702114324509,2.12172997648432,1210.95727535638,6.96294148624558,1.47734682751315,2329.4471680355,13.0685459017577,3.17596204384762
robustness,h1_1.14,CJM,tun43,HS-20,1863.17751391185,5.56350433876303,2.10386121081279,1355.86310637259,1.88415809826276,1.36041224157295,2034.90087482145,9.62407819059727,3.21726358227715
robustness,h1_1.14,CJM,tun44,PR-20,1778.24272470068,9.73218380965438,2.1532668913639,1174.09101760117,6.89220872953997,1.51062719959096,2342.49658296631,13.0815738111994,3.19243080706915
robustness,h1_1.14,CJM,tun45,HSsym,1853.75271768558,5.76297742724763,2.11865183099313,1333.45928958443,1.91685082248922,1.37828953639907,2033.07480804457,9.31077578797477,3.23316941392724
robustness,h1_1.14,CJM,tun46,PRsym,1779.40493065639,9.56128397100506,2.1440534666709,1163.3665596675,6.75398619262593,1.48594602007397,2332.98655559753,12.4524227590359,3.18928929110641
robustness,h1_1.14,CJM,tun47,HS-30,1854.94023257992,5.7841156720916,2.09956037448564,1372.408189471,1.90145917161079,1.35953606149394,2034.36624478242,9.87275214605981,3.21131144922508
robustness,h1_1.14,CJM,tun48,PR-30,1784.27323101098,10.194644629337,2.12618288885042,1188.27362786644,7.1219096695616,1.52084507975111,2343.74461721719,15.0346192138253,3.14998707240624
robustness,h2_0.16,North,tun29,HS+20,224.296816695535,11.6771259457673,0.396212812259372,190.225866427134,9.72922774683788,0.22565415548429,258.602006776373,14.2409459142206,0.516732208083754
robustness,h2_0.16,North,tun32,PR+20,216.731070539688,14.4189423594505,0.39935202166022,179.281235330654,11.7467352197459,0.24931933214255,259.60451180696,16.8232397732134,0.534057004824537
robustness,h2_0.16,North,tun43,HS-20,220.540622617028,11.5558605697056,0.393694146801852,186.499621096175,9.68238470908778,0.213348419700804,256.140404562617,14.2724285228017,0.518196563514163
robustness,h2_0.16,North,tun44,PR-20,214.187993845283,14.322090886483,0.39190813756885,174.256925060582,11.8619472798318,0.225281573333104,259.739581307275,16.9612334086201,0.531675389510209
robustness,h2_0.16,North,tun45,HSsym,222.677861617346,11.6669099233713,0.392849474297838,189.271319048971,9.72291293693761,0.221462198289188,258.362763583581,14.246069761544,0.517357095117492
robustness,h2_0.16,North,tun46,PRsym,216.349377961864,14.0212491804092,0.394657634107142,175.299706246772,11.4561907435552,0.234829285300322,262.366618810657,16.1511149932986,0.52856728788207
robustness,h2_0.16,North,tun47,HS-30,221.712523282494,11.644533558533,0.393775691858402,188.888534365905,9.74879240094558,0.216848342479527,256.735166691745,14.1995172220115,0.518340518318457
robustness,h2_0.16,North,tun48,PR-30,219.541637042594,15.3560308169078,0.394693472691142,186.100488600327,12.3624579477252,0.229096220665229,253.407866664647,18.0297211493644,0.533068682910739
robustness,h2_0.16,Southern,tun29,HS+20,1040.94971680626,4.8746102985855,1.10149922865349,896.480637402051,4.06796222020537,1.00104914327564,1204.57216905244,5.83590921964719,1.21865666948054
robustness,h2_0.16,Southern,tun32,PR+20,998.674813264253,9.75372228883398,1.31550732356999,831.35872435169,6.23459048752151,1.23371842829282,1224.39403858236,11.9934334763362,1.398775298397
robustness,h2_0.16,Southern,tun43,HS-20,1029.29291992736,4.86750475966119,1.01853748631003,887.096352739474,4.11484900423476,0.923772766564579,1195.25026961647,5.86968399175399,1.13121559725492
robustness,h2_0.16,Southern,tun44,PR-20,1000.00239006079,9.48983740551957,1.31121024575334,828.350440892987,6.16426104726256,1.22931921044992,1236.46463877931,11.9207181135048,1.39648032377482
robustness,h2_0.16,Southern,tun45,HSsym,1037.77439755519,4.87486328550863,1.07324685267789,892.284470781621,4.07898182748737,0.976373952981622,1203.50146921059,5.83743426129403,1.18893490391357
robustness,h2_0.16,Southern,tun46,PRsym,1005.42677959314,9.2349988771029,1.30964787500057,827.759751785329,5.88241623691466,1.22362331239752,1245.33795761494,11.2801007059663,1.39759629290388
robustness,h2_0.16,Southern,tun47,HS-30,1034.27354180647,4.90298886210743,1.04539507657613,890.031409086736,4.10679688535576,0.951089889277301,1199.83616616009,5.8690111233187,1.16037296037243
robustness,h2_0.16,Southern,tun48,PR-30,1006.9184070192,10.3760496558158,1.2994719626902,870.534700703279,6.73029826518081,1.21499589929127,1215.63625683887,12.5289840514316,1.38160964731389
robustness,h2_0.16_mov,North,tun29,HS+20,224.22832337455,11.009565723341,0.615423205629431,198.259534615952,9.14945204474877,0.584133645519963,256.272203463929,13.0856918303722,0.651024205831399
robustness,h2_0.16_mov,North,tun32,PR+20,211.850571977422,14.0420432724461,0.687055194559618,184.308070745971,11.8542472275604,0.65257265115894,248.97503221614,16.2635605229895,0.720697039168261
robustness,h2_0.16_mov,North,tun43,HS-20,222.114976815006,11.0387851300515,0.592374591073931,196.946286232714,9.17449468805267,0.562081296876356,254.139462768669,13.1284684022899,0.623880561630381
robustness,h2_0.16_mov,North,tun44,PR-20,211.938086181362,14.055159352754,0.683398471428241,182.586608443028,11.8508071891539,0.652133580291827,248.437673830737,16.1415207574887,0.719821315574666
robustness,h2_0.16_mov,North,tun45,HSsym,223.213815751493,11.0121499868329,0.607658201248486,197.837004120926,9.13276572697917,0.577053598566686,255.512955469323,13.0877092686225,0.641660770891881
robustness,h2_0.16_mov,North,tun46,PRsym,211.144334305839,13.5278424507333,0.683334801865273,179.663362681423,11.4746331150661,0.651115797231023,249.20354871633,15.7325128996084,0.717043599584919
robustness,h2_0.16_mov,North,tun47,HS-30,222.58098460406,11.0271541382181,0.600381083442736,197.591460770672,9.17743017738242,0.569631181426334,255.038173862002,13.1257326060624,0.632831478088003
robustness,h2_0.16_mov,North,tun48,PR-30,216.568268423796,14.983947572529,0.681135427191582,194.127996647843,12.5054655415587,0.650731177128477,249.099061691899,17.4821196165701,0.716835365605131
robustness,h2_0.16_mov,Southern,tun29,HS+20,961.681224242985,4.86975546095263,0.997800361316875,854.417928692935,4.09193229366969,0.926055126813088,1095.16203438979,5.81873125734966,1.07873737086037
robustness,h2_0.16_mov,Southern,tun32,PR+20,910.207870137884,10.9420891621009,1.21678749321949,792.693534067003,8.60855323701058,1.15884569080643,1064.86724184417,12.636013366249,1.27777686168514
robustness,h2_0.16_mov,Southern,tun43,HS-20,956.060991003048,4.88901869042266,0.924935484290207,847.549568374835,4.15848353440763,0.853091001326894,1087.45993693055,5.88870688201741,1.00495824040295
robustness,h2_0.16_mov,Southern,tun44,PR-20,908.245988700205,10.599995052557,1.21914484942047,788.666679590425,8.54363785661469,1.156537757773,1061.65361595138,12.3275926431455,1.27304459435321
robustness,h2_0.16_mov,Southern,tun45,HSsym,958.909827866717,4.8616528564783,0.974665665708649,852.403437399765,4.1096291651987,0.902531443748736,1093.48220151305,5.80586313710212,1.05439714738977
