year,iter,data,scenario,biol,code,metric
2031,327,6867.13664765294,om11_2,CJM,tun29,SB
2032,327,6692.85681687844,om11_2,CJM,tun29,SB
2033,327,6870.16478440504,om11_2,CJM,tun29,SB
2034,327,6629.1002606189,om11_2,CJM,tun29,SB
2035,327,5693.03957343804,om11_2,CJM,tun29,SB
2036,327,5484.51869390507,om11_2,CJM,tun29,SB
2037,327,6254.42774403603,om11_2,CJM,tun29,SB
2038,327,6483.49322618587,om11_2,CJM,tun29,SB
2039,327,5896.65483590805,om11_2,CJM,tun29,SB
2040,327,5030.80903001022,om11_2,CJM,tun29,SB
2041,327,3989.18333166012,om11_2,CJM,tun29,SB
2042,327,2841.02400547689,om11_2,CJM,tun29,SB
2043,327,2314.55939962636,om11_2,CJM,tun29,SB
2044,327,2200.1886863724,om11_2,CJM,tun29,SB
2045,327,1806.31094181445,om11_2,CJM,tun29,SB
2046,327,1422.31502529021,om11_2,CJM,tun29,SB
2047,327,1460.59493424451,om11_2,CJM,tun29,SB
2048,327,1825.0318656039,om11_2,CJM,tun29,SB
2049,327,2332.51128667293,om11_2,CJM,tun29,SB
2050,327,2999.87379281013,om11_2,CJM,tun29,SB
2025,344,8341.1219780227,om11_2,CJM,tun29,SB
2026,344,9185.45785741423,om11_2,CJM,tun29,SB
2027,344,9656.35005098741,om11_2,CJM,tun29,SB
2028,344,9472.8409250836,om11_2,CJM,tun29,SB
2029,344,9009.92287794019,om11_2,CJM,tun29,SB
2030,344,8361.07713108649,om11_2,CJM,tun29,SB
2031,344,7347.89253613574,om11_2,CJM,tun29,SB
2032,344,6385.12142387792,om11_2,CJM,tun29,SB
2033,344,5314.52379661121,om11_2,CJM,tun29,SB
2034,344,4720.71013366993,om11_2,CJM,tun29,SB
2035,344,3758.76881971723,om11_2,CJM,tun29,SB
2036,344,3287.88035903017,om11_2,CJM,tun29,SB
2037,344,3138.56425419894,om11_2,CJM,tun29,SB
2038,344,2818.06326570853,om11_2,CJM,tun29,SB
2039,344,2475.54237227161,om11_2,CJM,tun29,SB
2040,344,2191.42099404807,om11_2,CJM,tun29,SB
2041,344,1965.53907452267,om11_2,CJM,tun29,SB
2042,344,2056.12178086326,om11_2,CJM,tun29,SB
2043,344,2053.63914105795,om11_2,CJM,tun29,SB
2044,344,1823.21462280595,om11_2,CJM,tun29,SB
2045,344,1589.53495917753,om11_2,CJM,tun29,SB
2046,344,1460.84724603942,om11_2,CJM,tun29,SB
2047,344,1397.3437117793,om11_2,CJM,tun29,SB
2048,344,1489.43511574688,om11_2,CJM,tun29,SB
2049,344,1677.16442621384,om11_2,CJM,tun29,SB
2050,344,2036.94434380091,om11_2,CJM,tun29,SB
2025,348,6263.92727977176,om11_2,CJM,tun29,SB
2026,348,6588.468847472,om11_2,CJM,tun29,SB
2027,348,6249.69684154126,om11_2,CJM,tun29,SB
2028,348,5998.72934086866,om11_2,CJM,tun29,SB
2029,348,5621.79624011783,om11_2,CJM,tun29,SB
2030,348,5054.60634388756,om11_2,CJM,tun29,SB
2031,348,4735.65255243662,om11_2,CJM,tun29,SB
2032,348,4862.53282485398,om11_2,CJM,tun29,SB
2033,348,4908.41939654009,om11_2,CJM,tun29,SB
2034,348,4783.42934325326,om11_2,CJM,tun29,SB
2035,348,3992.25554769539,om11_2,CJM,tun29,SB
2036,348,3518.71873264917,om11_2,CJM,tun29,SB
2037,348,3031.55308312619,om11_2,CJM,tun29,SB
2038,348,2482.30674612025,om11_2,CJM,tun29,SB
2039,348,1953.91772907943,om11_2,CJM,tun29,SB
2040,348,1659.70254790048,om11_2,CJM,tun29,SB
2041,348,1457.09084285972,om11_2,CJM,tun29,SB
2042,348,1359.18383591545,om11_2,CJM,tun29,SB
2043,348,1579.60262076918,om11_2,CJM,tun29,SB
