"variable","is_parameter","mean","median","sd","q2.5","q25","q75","q97.5","mcse_mean","rhat","ess_bulk","ess_tail","nonfinite_draws","stuck_chains","rhat_above_1_01","bulk_ess_below_400","tail_ess_below_400","diagnostics_nonfinite","passes_parameter_checks","diagnostic_status"
"log_selcoffs_fsh[4][61]",TRUE,0.40362026140646,0.416759882422811,0.355574282533672,-0.329320550136946,0.178522501558532,0.648368405675439,1.04127949098469,0.0118301732628242,1.0031145746757,945.343611114083,1991.25954034918,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,"passes screening"
"log_selcoffs_fsh[4][62]",TRUE,0.580514240951251,0.599969018682812,0.369547948961044,-0.21069416887207,0.347089908127661,0.840844461581018,1.24625697757345,0.019473370909472,1.00237319064488,364.428783899766,945.171100239318,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,"bulk ESS < 400"
"log_selcoffs_fsh[4][63]",TRUE,0.628148140951867,0.644637697869196,0.400957897620908,-0.226041731987478,0.366958005324958,0.916432031507933,1.35554478509909,0.025694726409061,1.00510409848528,242.995833769844,843.563091386758,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,"bulk ESS < 400"
"log_selcoffs_fsh[4][64]",TRUE,-1.49827196391967,-1.44524922662838,0.96181192455821,-3.50314107976888,-2.15663602991138,-0.803048991416322,0.266950018463178,0.0716316438035689,1.00754503263969,185.999859248203,318.733809652241,0,0,FALSE,TRUE,TRUE,FALSE,FALSE,"bulk ESS < 400; tail ESS < 400"
"log_selcoffs_fsh[4][65]",TRUE,-1.21480886008961,-1.15356493800187,0.730129339846772,-2.77240085257182,-1.66315701052185,-0.694386238897939,0.0424540375219801,0.0624027504367154,1.01024482670838,142.573951804489,214.125946713169,0,0,TRUE,TRUE,TRUE,FALSE,FALSE,"Rhat > 1.01; bulk ESS < 400; tail ESS < 400"
"log_selcoffs_fsh[4][66]",TRUE,-0.939078211063422,-0.88568540795325,0.637382133646354,-2.27553386726826,-1.34862068140518,-0.481198555109325,0.178048785276279,0.052883093014953,1.00783919576862,150.660357439774,281.030517553136,0,0,FALSE,TRUE,TRUE,FALSE,FALSE,"bulk ESS < 400; tail ESS < 400"
"log_selcoffs_fsh[4][67]",TRUE,-0.633965006213457,-0.59795105265768,0.558209596332403,-1.84610684556271,-0.978109178550654,-0.240286885551745,0.326288204434882,0.0414624577247811,1.00481920312961,192.636872320722,294.823272428246,0,0,FALSE,TRUE,TRUE,FALSE,FALSE,"bulk ESS < 400; tail ESS < 400"
"log_selcoffs_fsh[4][68]",TRUE,-0.306762214441245,-0.287273238145945,0.47434083863291,-1.27995087294322,-0.60811458242337,0.022665994432337,0.561258149198703,0.0267703642155484,1.0027203333623,322.293508252634,727.703106146054,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,"bulk ESS < 400"
"log_selcoffs_fsh[4][69]",TRUE,0.0644874860425147,0.0874458502499547,0.404259610708901,-0.766278737250569,-0.200600184581404,0.350016999635448,0.78902284846311,0.0145081918326732,1.00191260546562,825.205679958734,1593.49817444204,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,"passes screening"
"log_selcoffs_fsh[4][70]",TRUE,0.371572049732602,0.384568598124487,0.366258185353818,-0.403522903224686,0.132140790687092,0.62957624356398,1.05155307132852,0.0112431520999815,1.00371512907246,1119.7518690845,1317.70113991138,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,"passes screening"
"log_selcoffs_fsh[4][71]",TRUE,0.548130549962385,0.571018108098791,0.370696269803733,-0.239672825933516,0.312857640539296,0.798523778616602,1.21546326255097,0.0213570481165008,1.0013370274303,303.714331978792,1016.53265751565,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,"bulk ESS < 400"
"log_selcoffs_fsh[4][72]",TRUE,0.59818437431763,0.624997773313409,0.405776136804371,-0.26552373922592,0.329107675712457,0.886263056325474,1.31843905228423,0.025981354623108,1.00677801043881,243.638630769537,772.39965541068,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,"bulk ESS < 400"
"log_selcoffs_fsh[4][73]",TRUE,-1.32173187691284,-1.27148077757591,0.936925989092076,-3.28927992395012,-1.93064922620469,-0.65997971560155,0.399126063758312,0.0708811956914829,1.00898999103157,181.240648693458,312.137054913491,0,0,FALSE,TRUE,TRUE,FALSE,FALSE,"bulk ESS < 400; tail ESS < 400"
"log_selcoffs_fsh[4][74]",TRUE,-1.06201582239296,-1.01530743951196,0.710253802389681,-2.55148505532243,-1.50779692628412,-0.557820665964393,0.174463027808752,0.0626948575418509,1.01073373271401,134.077605771188,196.190964011918,0,0,TRUE,TRUE,TRUE,FALSE,FALSE,"Rhat > 1.01; bulk ESS < 400; tail ESS < 400"
"log_selcoffs_fsh[4][75]",TRUE,-0.829478904415967,-0.79023238756847,0.609069657579332,-2.14443790700505,-1.23074717886394,-0.395036560289847,0.250447178848429,0.0525736688523931,1.00946385214415,141.440534472309,238.447426564476,0,0,FALSE,TRUE,TRUE,FALSE,FALSE,"bulk ESS < 400; tail ESS < 400"
"log_selcoffs_fsh[4][76]",TRUE,-0.572120939989882,-0.5421680069094,0.529595726818264,-1.69860439062072,-0.91374070094143,-0.205219980106579,0.395755997281212,0.0400836201247801,1.00620915283934,185.041553772988,326.902147562603,0,0,FALSE,TRUE,TRUE,FALSE,FALSE,"bulk ESS < 400; tail ESS < 400"
"log_selcoffs_fsh[4][77]",TRUE,-0.258813838897988,-0.233314207495233,0.468891388427868,-1.22569414936528,-0.559952056599541,0.0661905553418465,0.591347982936683,0.0249526993598043,1.00312594924316,358.930172768005,803.537177060013,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,"bulk ESS < 400"
"log_selcoffs_fsh[4][78]",TRUE,0.0510745998634573,0.0671938513288476,0.409422823998261,-0.753215372515603,-0.235940673795771,0.341670186119424,0.816125120054345,0.0132105798618105,1.0025640078765,971.418833218399,1700.10187132724,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,"passes screening"
"log_selcoffs_fsh[4][79]",TRUE,0.3264163120205,0.341471483572375,0.379040866685114,-0.448377442850951,0.0753466568108649,0.589976241496304,1.01102651328382,0.0162784066223437,1.00301786928564,559.301567752612,1747.55184966381,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,"passes screening"
"log_selcoffs_fsh[4][80]",TRUE,0.50432332258878,0.51642409548348,0.38339443184485,-0.306332761072954,0.261028032599099,0.771767574342077,1.19717762787537,0.0251459751005495,1.00647357938958,230.34241045662,743.67292889612,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,"bulk ESS < 400"
