year,iter,data,scenario,biol,code,metric
2027,165,7925.79615790233,om11_2,CJM,tun43,SB
2028,165,7995.59465149525,om11_2,CJM,tun43,SB
2029,165,7627.76267003291,om11_2,CJM,tun43,SB
2030,165,7098.44731882703,om11_2,CJM,tun43,SB
2031,165,6581.43485942217,om11_2,CJM,tun43,SB
2032,165,6174.54510645564,om11_2,CJM,tun43,SB
2033,165,6180.37533122751,om11_2,CJM,tun43,SB
2034,165,6210.63241479503,om11_2,CJM,tun43,SB
2035,165,5146.95009385388,om11_2,CJM,tun43,SB
2036,165,4809.24660637292,om11_2,CJM,tun43,SB
2037,165,6974.13134112516,om11_2,CJM,tun43,SB
2038,165,9596.87569058695,om11_2,CJM,tun43,SB
2039,165,10383.9113583359,om11_2,CJM,tun43,SB
2040,165,10645.7800132396,om11_2,CJM,tun43,SB
2041,165,10732.5959581324,om11_2,CJM,tun43,SB
2042,165,10341.8880304464,om11_2,CJM,tun43,SB
2043,165,10228.3523438881,om11_2,CJM,tun43,SB
2044,165,9514.04521891789,om11_2,CJM,tun43,SB
2045,165,8672.26446204066,om11_2,CJM,tun43,SB
2046,165,8005.38587109791,om11_2,CJM,tun43,SB
2047,165,6959.55665763287,om11_2,CJM,tun43,SB
2048,165,5903.66740187802,om11_2,CJM,tun43,SB
2049,165,4373.39981351129,om11_2,CJM,tun43,SB
2050,165,2996.61868083504,om11_2,CJM,tun43,SB
2025,177,8041.24231146839,om11_2,CJM,tun43,SB
2026,177,8201.9921947721,om11_2,CJM,tun43,SB
2027,177,8647.83467206007,om11_2,CJM,tun43,SB
2028,177,9225.58891556726,om11_2,CJM,tun43,SB
2029,177,8989.72820462078,om11_2,CJM,tun43,SB
2030,177,8277.83568804359,om11_2,CJM,tun43,SB
2031,177,7930.70002257653,om11_2,CJM,tun43,SB
2032,177,7689.07083287116,om11_2,CJM,tun43,SB
2033,177,7489.3579377942,om11_2,CJM,tun43,SB
2034,177,7146.76866490308,om11_2,CJM,tun43,SB
2035,177,5650.85726863953,om11_2,CJM,tun43,SB
2036,177,4702.54868159077,om11_2,CJM,tun43,SB
2037,177,4243.4630156049,om11_2,CJM,tun43,SB
2038,177,4024.19642383796,om11_2,CJM,tun43,SB
2039,177,4316.10429530354,om11_2,CJM,tun43,SB
2040,177,4453.24251006458,om11_2,CJM,tun43,SB
2041,177,4296.25901485493,om11_2,CJM,tun43,SB
2042,177,4470.14091110345,om11_2,CJM,tun43,SB
2043,177,5098.75349633969,om11_2,CJM,tun43,SB
2044,177,5433.85745937759,om11_2,CJM,tun43,SB
2045,177,5595.19515231829,om11_2,CJM,tun43,SB
2046,177,5636.65928439951,om11_2,CJM,tun43,SB
2047,177,5684.1031839063,om11_2,CJM,tun43,SB
2048,177,5593.31503046298,om11_2,CJM,tun43,SB
2049,177,5185.36556064986,om11_2,CJM,tun43,SB
2050,177,5055.66113642712,om11_2,CJM,tun43,SB
2025,186,7859.93258500356,om11_2,CJM,tun43,SB
2026,186,9741.48766043344,om11_2,CJM,tun43,SB
2027,186,12261.2201079339,om11_2,CJM,tun43,SB
2028,186,13395.6500745252,om11_2,CJM,tun43,SB
2029,186,13718.1534902529,om11_2,CJM,tun43,SB
2030,186,14090.1262392162,om11_2,CJM,tun43,SB
2031,186,14263.695525643,om11_2,CJM,tun43,SB
2032,186,14045.7392914879,om11_2,CJM,tun43,SB
2033,186,13212.1009843208,om11_2,CJM,tun43,SB
2034,186,12120.3829024562,om11_2,CJM,tun43,SB
2035,186,9892.21076073767,om11_2,CJM,tun43,SB
2036,186,8472.78049941614,om11_2,CJM,tun43,SB
2037,186,7805.45985964107,om11_2,CJM,tun43,SB
2038,186,6674.82689047101,om11_2,CJM,tun43,SB
2039,186,6201.25312099208,om11_2,CJM,tun43,SB
2040,186,6302.11952845306,om11_2,CJM,tun43,SB
2041,186,5948.80663841841,om11_2,CJM,tun43,SB
2042,186,5989.7280049787,om11_2,CJM,tun43,SB
2043,186,6512.56137900042,om11_2,CJM,tun43,SB
2044,186,6728.74608068876,om11_2,CJM,tun43,SB
2045,186,6137.42642278261,om11_2,CJM,tun43,SB
2046,186,4754.86903937837,om11_2,CJM,tun43,SB
2047,186,3642.67105723512,om11_2,CJM,tun43,SB
2048,186,3132.72154196634,om11_2,CJM,tun43,SB
2049,186,2906.48763240175,om11_2,CJM,tun43,SB
2050,186,3511.17760967666,om11_2,CJM,tun43,SB
2025,246,8847.56725195435,om11_2,CJM,tun43,SB
2026,246,9365.39736295931,om11_2,CJM,tun43,SB
2027,246,8957.08820880763,om11_2,CJM,tun43,SB
2028,246,8745.32528612799,om11_2,CJM,tun43,SB
2029,246,8705.31922162593,om11_2,CJM,tun43,SB
2030,246,7981.22822142193,om11_2,CJM,tun43,SB
2031,246,6814.02117190622,om11_2,CJM,tun43,SB
2032,246,5573.51197451677,om11_2,CJM,tun43,SB
2033,246,4191.15833740616,om11_2,CJM,tun43,SB
2034,246,3224.19070273531,om11_2,CJM,tun43,SB
2035,246,1854.20949159464,om11_2,CJM,tun43,SB
2036,246,1148.49199952363,om11_2,CJM,tun43,SB
2037,246,974.298008611937,om11_2,CJM,tun43,SB
2038,246,950.494666849792,om11_2,CJM,tun43,SB
2039,246,875.384946672075,om11_2,CJM,tun43,SB
2040,246,719.484533702736,om11_2,CJM,tun43,SB
2041,246,576.804270327438,om11_2,CJM,tun43,SB
2042,246,552.573810651383,om11_2,CJM,tun43,SB
2043,246,779.870780410148,om11_2,CJM,tun43,SB
2044,246,1222.73892710016,om11_2,CJM,tun43,SB
2045,246,2229.09239544771,om11_2,CJM,tun43,SB
2046,246,4362.81207035927,om11_2,CJM,tun43,SB
2047,246,6917.23713381327,om11_2,CJM,tun43,SB
2048,246,9135.45733781031,om11_2,CJM,tun43,SB
2049,246,10775.5484897827,om11_2,CJM,tun43,SB
2050,246,12979.0513248162,om11_2,CJM,tun43,SB
2025,327,6418.0774926786,om11_2,CJM,tun43,SB
2026,327,7008.55751862494,om11_2,CJM,tun43,SB
2027,327,6701.91767658619,om11_2,CJM,tun43,SB
2028,327,6663.79084543396,om11_2,CJM,tun43,SB
2029,327,6775.10683445151,om11_2,CJM,tun43,SB
2030,327,6916.01200740519,om11_2,CJM,tun43,SB
2031,327,6698.04169133294,om11_2,CJM,tun43,SB
2032,327,6529.37820217289,om11_2,CJM,tun43,SB
2033,327,6653.77807731668,om11_2,CJM,tun43,SB
2034,327,6363.29055067305,om11_2,CJM,tun43,SB
2035,327,5383.0963348636,om11_2,CJM,tun43,SB
2036,327,5117.82336658233,om11_2,CJM,tun43,SB
2037,327,5798.17976470038,om11_2,CJM,tun43,SB
2038,327,5998.80029382812,om11_2,CJM,tun43,SB
2039,327,5490.62187199522,om11_2,CJM,tun43,SB
2040,327,4637.01185373193,om11_2,CJM,tun43,SB
2041,327,3578.88581580564,om11_2,CJM,tun43,SB
2042,327,2423.51097028453,om11_2,CJM,tun43,SB
2043,327,1913.22726365829,om11_2,CJM,tun43,SB
2044,327,1830.38938878577,om11_2,CJM,tun43,SB
2045,327,1530.0499504588,om11_2,CJM,tun43,SB
2046,327,1264.29117857343,om11_2,CJM,tun43,SB
2047,327,1399.92138896524,om11_2,CJM,tun43,SB
2048,327,1881.92926981752,om11_2,CJM,tun43,SB
2049,327,2548.22862041785,om11_2,CJM,tun43,SB
2050,327,3411.26279667938,om11_2,CJM,tun43,SB
2025,344,8341.1219780227,om11_2,CJM,tun43,SB
2026,344,9124.92480111702,om11_2,CJM,tun43,SB
2027,344,9514.23788989208,om11_2,CJM,tun43,SB
