year,iter,data,metric
2049,177,15513.9688821931,SSB (thousand t)
2050,177,14872.4736694247,SSB (thousand t)
2025,186,7859.93258500356,SSB (thousand t)
2026,186,8172.23209046121,SSB (thousand t)
2027,186,8785.70262829673,SSB (thousand t)
2028,186,8967.51733085,SSB (thousand t)
2029,186,8819.23530201212,SSB (thousand t)
2030,186,8593.62301431549,SSB (thousand t)
2031,186,9218.84378694688,SSB (thousand t)
2032,186,10946.6997168568,SSB (thousand t)
2033,186,11486.1039884085,SSB (thousand t)
2034,186,11369.6190724445,SSB (thousand t)
2035,186,11183.504104768,SSB (thousand t)
2036,186,11885.5436768674,SSB (thousand t)
2037,186,12972.84730514,SSB (thousand t)
2038,186,14183.1275341914,SSB (thousand t)
2039,186,15019.3424818733,SSB (thousand t)
2040,186,14588.7175112762,SSB (thousand t)
2041,186,13722.7731561285,SSB (thousand t)
2042,186,13192.436454754,SSB (thousand t)
2043,186,12653.245789889,SSB (thousand t)
2044,186,11610.6154684714,SSB (thousand t)
2045,186,10562.9014945467,SSB (thousand t)
2046,186,10087.1732205697,SSB (thousand t)
2047,186,10753.985296645,SSB (thousand t)
2048,186,11617.7986861044,SSB (thousand t)
2049,186,11553.9142298246,SSB (thousand t)
2050,186,11386.8242738576,SSB (thousand t)
2025,246,8847.56725195435,SSB (thousand t)
2026,246,12528.3604629358,SSB (thousand t)
2027,246,16119.5407286492,SSB (thousand t)
2028,246,17096.6548666425,SSB (thousand t)
2029,246,16908.4966198012,SSB (thousand t)
2030,246,16619.9838127809,SSB (thousand t)
2031,246,16331.2085435317,SSB (thousand t)
2032,246,15389.9786476,SSB (thousand t)
2033,246,13741.9535467948,SSB (thousand t)
2034,246,12385.7858005896,SSB (thousand t)
2035,246,10600.0166401597,SSB (thousand t)
2036,246,8862.10091393926,SSB (thousand t)
2037,246,7189.00984757249,SSB (thousand t)
2038,246,5745.65072754853,SSB (thousand t)
2039,246,4687.90262724795,SSB (thousand t)
2040,246,3792.61589192994,SSB (thousand t)
2041,246,3197.2321249705,SSB (thousand t)
2042,246,2618.90782281852,SSB (thousand t)
2043,246,2223.091806913,SSB (thousand t)
2044,246,1944.95662478519,SSB (thousand t)
2045,246,1624.60750183427,SSB (thousand t)
2046,246,1305.51135202548,SSB (thousand t)
2047,246,1107.28149373351,SSB (thousand t)
2048,246,921.033186053793,SSB (thousand t)
2049,246,880.707034904345,SSB (thousand t)
2050,246,834.875313761655,SSB (thousand t)
2025,327,6418.0774926786,SSB (thousand t)
2026,327,7480.35169110609,SSB (thousand t)
2027,327,8262.90831947255,SSB (thousand t)
2028,327,8876.94235614077,SSB (thousand t)
2029,327,9623.65235636947,SSB (thousand t)
2030,327,9954.83167559474,SSB (thousand t)
2031,327,10097.2780022547,SSB (thousand t)
2032,327,10473.5801949712,SSB (thousand t)
2033,327,10860.3677808234,SSB (thousand t)
2034,327,11571.2154282741,SSB (thousand t)
2035,327,11677.5822069865,SSB (thousand t)
2036,327,12120.8256247824,SSB (thousand t)
2037,327,13901.9343955821,SSB (thousand t)
2038,327,17090.258069359,SSB (thousand t)
2039,327,19779.6168838769,SSB (thousand t)
2040,327,21051.8042255035,SSB (thousand t)
2041,327,21629.2669067095,SSB (thousand t)
2042,327,24695.4884653421,SSB (thousand t)
2043,327,28836.4588782311,SSB (thousand t)
2044,327,33026.3477571919,SSB (thousand t)
2045,327,36048.317133825,SSB (thousand t)
2046,327,36701.3347990327,SSB (thousand t)
2047,327,36656.2839122026,SSB (thousand t)
2048,327,36639.9984808061,SSB (thousand t)
2049,327,36083.9508773499,SSB (thousand t)
2050,327,35036.0269946266,SSB (thousand t)
2025,344,8341.1219780227,SSB (thousand t)
2026,344,8323.86823586721,SSB (thousand t)
2027,344,7758.84527645594,SSB (thousand t)
2028,344,7799.70925872234,SSB (thousand t)
2029,344,8086.66333035118,SSB (thousand t)
2030,344,8294.07682880699,SSB (thousand t)
2031,344,8847.44450931348,SSB (thousand t)
2032,344,9157.40287614074,SSB (thousand t)
2033,344,8795.16746276789,SSB (thousand t)
2034,344,9039.27476360501,SSB (thousand t)
2035,344,9758.88590666352,SSB (thousand t)
2036,344,10801.8466329762,SSB (thousand t)
2037,344,12395.9109398575,SSB (thousand t)
2038,344,13658.6440488105,SSB (thousand t)
2039,344,13713.1765054361,SSB (thousand t)
2040,344,13841.187245882,SSB (thousand t)
2041,344,15003.5265800877,SSB (thousand t)
2042,344,16679.6247724739,SSB (thousand t)
2043,344,18935.7028293107,SSB (thousand t)
