set,om,biol,code,statistic,median,q25,q75,CMP
robustness,h2_0.16_mov,North,tun43,IACC,11.0387851300515,9.17449468805267,13.1284684022899,HS-20
robustness,h2_0.16_mov,Southern,tun45,SBMSY,0.974665665708649,0.902531443748736,1.05439714738977,HSsym
robustness,h2_0.16_mov,Southern,tun45,C,958.909827866717,852.403437399765,1093.48220151305,HSsym
robustness,h2_0.16_mov,Southern,tun45,IACC,4.8616528564783,4.1096291651987,5.80586313710212,HSsym
robustness,h2_0.16_mov,North,tun45,SBMSY,0.607658201248486,0.577053598566686,0.641660770891881,HSsym
robustness,h2_0.16_mov,North,tun45,C,223.213815751493,197.837004120926,255.512955469323,HSsym
robustness,h2_0.16_mov,North,tun45,IACC,11.0121499868329,9.13276572697917,13.0877092686225,HSsym
robustness,h2_0.16_mov,Southern,tun47,SBMSY,0.950132307513078,0.87780650945863,1.02962569970816,HS-30
robustness,h2_0.16_mov,Southern,tun47,C,958.227536825069,850.297770647359,1091.0021856103,HS-30
robustness,h2_0.16_mov,Southern,tun47,IACC,4.87297262186599,4.14567943886392,5.86937106816139,HS-30
robustness,h2_0.16_mov,North,tun47,SBMSY,0.600381083442736,0.569631181426334,0.632831478088003,HS-30
robustness,h2_0.16_mov,North,tun47,C,222.58098460406,197.591460770672,255.038173862002,HS-30
robustness,h2_0.16_mov,North,tun47,IACC,11.0271541382181,9.17743017738242,13.1257326060624,HS-30
robustness,h2_0.16_mov,Southern,tun32,SBMSY,1.21678749321949,1.15884569080643,1.27777686168514,PR+20
robustness,h2_0.16_mov,Southern,tun32,C,910.207870137884,792.693534067003,1064.86724184417,PR+20
robustness,h2_0.16_mov,Southern,tun32,IACC,10.9420891621009,8.60855323701058,12.636013366249,PR+20
robustness,h2_0.16_mov,North,tun32,SBMSY,0.687055194559618,0.65257265115894,0.720697039168261,PR+20
robustness,h2_0.16_mov,North,tun32,C,211.850571977422,184.308070745971,248.97503221614,PR+20
robustness,h2_0.16_mov,North,tun32,IACC,14.0420432724461,11.8542472275604,16.2635605229895,PR+20
robustness,h2_0.16_mov,Southern,tun44,SBMSY,1.21914484942047,1.156537757773,1.27304459435321,PR-20
robustness,h2_0.16_mov,Southern,tun44,C,908.245988700205,788.666679590425,1061.65361595138,PR-20
robustness,h2_0.16_mov,Southern,tun44,IACC,10.599995052557,8.54363785661469,12.3275926431455,PR-20
robustness,h2_0.16_mov,North,tun44,SBMSY,0.683398471428241,0.652133580291827,0.719821315574666,PR-20
robustness,h2_0.16_mov,North,tun44,C,211.938086181362,182.586608443028,248.437673830737,PR-20
robustness,h2_0.16_mov,North,tun44,IACC,14.055159352754,11.8508071891539,16.1415207574887,PR-20
robustness,h2_0.16_mov,Southern,tun46,SBMSY,1.20997491986254,1.1519293932273,1.27139650285551,PRsym
robustness,h2_0.16_mov,Southern,tun46,C,901.410848190276,775.836353643248,1063.94250135647,PRsym
robustness,h2_0.16_mov,Southern,tun46,IACC,10.2207797080024,8.27209926763953,11.6679965406865,PRsym
robustness,h2_0.16_mov,North,tun46,SBMSY,0.683334801865273,0.651115797231023,0.717043599584919,PRsym
robustness,h2_0.16_mov,North,tun46,C,211.144334305839,179.663362681423,249.20354871633,PRsym
robustness,h2_0.16_mov,North,tun46,IACC,13.5278424507333,11.4746331150661,15.7325128996084,PRsym
robustness,h2_0.16_mov,Southern,tun48,SBMSY,1.20545284261111,1.14705844606976,1.26163515635919,PR-30
robustness,h2_0.16_mov,Southern,tun48,C,932.402311103104,838.103925553054,1068.10564765585,PR-30
robustness,h2_0.16_mov,Southern,tun48,IACC,11.4872402807712,9.15416269524503,13.4124944181905,PR-30
