mp,statistic,metric,raw_value,preferred_direction,include,weight,years,summary,om_code,om_label,component,n_iter
PR-20 (MP44),PC270,P(catch < 270 kt),0.0388,lower is better,TRUE,1,2041-2050,Proportion of 2041-2050 iteration-years with catch below 270 kt,om11,Reference (om11),CJM,500
PRsym (MP46),PC270,P(catch < 270 kt),0.0444,lower is better,TRUE,1,2041-2050,Proportion of 2041-2050 iteration-years with catch below 270 kt,om11,Reference (om11),CJM,500
PR-30 (MP48),PC270,P(catch < 270 kt),0.0294,lower is better,TRUE,1,2041-2050,Proportion of 2041-2050 iteration-years with catch below 270 kt,om11,Reference (om11),CJM,500
HS+20 (MP29),Creduction,Mean catch reduction,2.25699315259484,lower is better,FALSE,1,2041-2050,Median across iteration-specific 2026-2050 mean reductions,om11,Reference (om11),CJM,500
PR+20 (MP32),Creduction,Mean catch reduction,4.69480480408109,lower is better,FALSE,1,2041-2050,Median across iteration-specific 2026-2050 mean reductions,om11,Reference (om11),CJM,500
HS-20 (MP43),Creduction,Mean catch reduction,2.21435130338251,lower is better,FALSE,1,2041-2050,Median across iteration-specific 2026-2050 mean reductions,om11,Reference (om11),CJM,500
PR-20 (MP44),Creduction,Mean catch reduction,4.68069679547602,lower is better,FALSE,1,2041-2050,Median across iteration-specific 2026-2050 mean reductions,om11,Reference (om11),CJM,500
HSsym (MP45),Creduction,Mean catch reduction,2.09767507138905,lower is better,FALSE,1,2041-2050,Median across iteration-specific 2026-2050 mean reductions,om11,Reference (om11),CJM,500
PRsym (MP46),Creduction,Mean catch reduction,4.46960823403602,lower is better,FALSE,1,2041-2050,Median across iteration-specific 2026-2050 mean reductions,om11,Reference (om11),CJM,500
HS-30 (MP47),Creduction,Mean catch reduction,2.33450309713878,lower is better,FALSE,1,2041-2050,Median across iteration-specific 2026-2050 mean reductions,om11,Reference (om11),CJM,500
PR-30 (MP48),Creduction,Mean catch reduction,4.90461896654535,lower is better,FALSE,1,2041-2050,Median across iteration-specific 2026-2050 mean reductions,om11,Reference (om11),CJM,500
HS+20 (MP29),CatchDrop20,Advice reductions >19% (%),0,lower is better,TRUE,1,2027-2050 (advice comparisons 2026-2049),Proportion across all valid consecutive saved HCR-advice comparisons and all iterations; advice falls strictly more than 19%; no biomass or near-20% exclusions; first saved advice has no predecessor,om11,Reference (om11),CJM,500
HS-20 (MP43),CatchDrop20,Advice reductions >19% (%),0.0634166666666667,lower is better,TRUE,1,2027-2050 (advice comparisons 2026-2049),Proportion across all valid consecutive saved HCR-advice comparisons and all iterations; advice falls strictly more than 19%; no biomass or near-20% exclusions; first saved advice has no predecessor,om11,Reference (om11),CJM,500
HSsym (MP45),CatchDrop20,Advice reductions >19% (%),0,lower is better,TRUE,1,2027-2050 (advice comparisons 2026-2049),Proportion across all valid consecutive saved HCR-advice comparisons and all iterations; advice falls strictly more than 19%; no biomass or near-20% exclusions; first saved advice has no predecessor,om11,Reference (om11),CJM,500
HS-30 (MP47),CatchDrop20,Advice reductions >19% (%),0.0480833333333333,lower is better,TRUE,1,2027-2050 (advice comparisons 2026-2049),Proportion across all valid consecutive saved HCR-advice comparisons and all iterations; advice falls strictly more than 19%; no biomass or near-20% exclusions; first saved advice has no predecessor,om11,Reference (om11),CJM,500
PR+20 (MP32),CatchDrop20,Advice reductions >19% (%),0,lower is better,TRUE,1,2027-2050 (advice comparisons 2026-2049),Proportion across all valid consecutive saved HCR-advice comparisons and all iterations; advice falls strictly more than 19%; no biomass or near-20% exclusions; first saved advice has no predecessor,om11,Reference (om11),CJM,500
PR-20 (MP44),CatchDrop20,Advice reductions >19% (%),0.172916666666667,lower is better,TRUE,1,2027-2050 (advice comparisons 2026-2049),Proportion across all valid consecutive saved HCR-advice comparisons and all iterations; advice falls strictly more than 19%; no biomass or near-20% exclusions; first saved advice has no predecessor,om11,Reference (om11),CJM,500
PRsym (MP46),CatchDrop20,Advice reductions >19% (%),0,lower is better,TRUE,1,2027-2050 (advice comparisons 2026-2049),Proportion across all valid consecutive saved HCR-advice comparisons and all iterations; advice falls strictly more than 19%; no biomass or near-20% exclusions; first saved advice has no predecessor,om11,Reference (om11),CJM,500
PR-30 (MP48),CatchDrop20,Advice reductions >19% (%),0.132666666666667,lower is better,TRUE,1,2027-2050 (advice comparisons 2026-2049),Proportion across all valid consecutive saved HCR-advice comparisons and all iterations; advice falls strictly more than 19%; no biomass or near-20% exclusions; first saved advice has no predecessor,om11,Reference (om11),CJM,500
HS+20 (MP29),SSBbelow8dB0,SSB <8% dynamic B0 (%),0.0644,lower is better,TRUE,1,2041-2050,Proportion of valid 2041-2050 iteration-years with SSB strictly below 8% of dynamic unfished SSB (previous Blim),om11,Reference (om11),CJM,500
HS-20 (MP43),SSBbelow8dB0,SSB <8% dynamic B0 (%),0.0704,lower is better,TRUE,1,2041-2050,Proportion of valid 2041-2050 iteration-years with SSB strictly below 8% of dynamic unfished SSB (previous Blim),om11,Reference (om11),CJM,500
HSsym (MP45),SSBbelow8dB0,SSB <8% dynamic B0 (%),0.076,lower is better,TRUE,1,2041-2050,Proportion of valid 2041-2050 iteration-years with SSB strictly below 8% of dynamic unfished SSB (previous Blim),om11,Reference (om11),CJM,500
HS-30 (MP47),SSBbelow8dB0,SSB <8% dynamic B0 (%),0.0452,lower is better,TRUE,1,2041-2050,Proportion of valid 2041-2050 iteration-years with SSB strictly below 8% of dynamic unfished SSB (previous Blim),om11,Reference (om11),CJM,500
PR+20 (MP32),SSBbelow8dB0,SSB <8% dynamic B0 (%),0.0624,lower is better,TRUE,1,2041-2050,Proportion of valid 2041-2050 iteration-years with SSB strictly below 8% of dynamic unfished SSB (previous Blim),om11,Reference (om11),CJM,500
PR-20 (MP44),SSBbelow8dB0,SSB <8% dynamic B0 (%),0.0578,lower is better,TRUE,1,2041-2050,Proportion of valid 2041-2050 iteration-years with SSB strictly below 8% of dynamic unfished SSB (previous Blim),om11,Reference (om11),CJM,500
PRsym (MP46),SSBbelow8dB0,SSB <8% dynamic B0 (%),0.0658,lower is better,TRUE,1,2041-2050,Proportion of valid 2041-2050 iteration-years with SSB strictly below 8% of dynamic unfished SSB (previous Blim),om11,Reference (om11),CJM,500
