Hypothesis,Stock,Scenario_ID,Scenario,Year,SSB_kt,SSB_SE_kt,BMSY_kt,Probability_above_percent,Catch_kt
h2,2,1,1 × F2026,2028,3837.93,940.242,1304.5566870000002,99.64740600932338,127.836
h2,2,1,1 × F2026,2029,3752.39,924.851,1304.5566870000002,99.59363207441781,134.131
h2,2,1,1 × F2026,2030,3683.67,919.614,1304.5566870000002,99.51603186038925,135.212
h2,2,1,1 × F2026,2031,3632.13,919.465,1304.5566870000002,99.43202873891649,135.062
h2,2,1,1 × F2026,2032,3592.65,921.743,1304.5566870000002,99.34741406377762,134.585
h2,2,1,1 × F2026,2033,3562.75,925.158,1304.5566870000002,99.26740996609597,134.091
h2,2,1,1 × F2026,2034,3544.28,929.388,1304.5566870000002,99.20213455174105,133.66
h2,2,1,1 × F2026,2035,3532.19,933.261,1304.5566870000002,99.15052518023366,133.308
h2,2,1,1 × F2026,2036,3522.16,936.193,1304.5566870000002,99.10757439570908,133.03
h2,2,3,1.25 × F2026,2027,3915.8,965.03,1304.5566870000002,99.65936888913801,140.335
h2,2,3,1.25 × F2026,2028,3793.64,938.567,1304.5566870000002,99.5999218720422,156.156
h2,2,3,1.25 × F2026,2029,3683.21,921.302,1304.5566870000002,99.50862271371737,162.749
h2,2,3,1.25 × F2026,2030,3591.78,913.74,1304.5566870000002,99.38452373399623,163.67
h2,2,3,1.25 × F2026,2031,3520.31,910.876,1304.5566870000002,99.250358250228,163.314
h2,2,3,1.25 × F2026,2032,3463.78,910.458,1304.5566870000002,99.11438764348638,162.571
h2,2,3,1.25 × F2026,2033,3419.55,911.44,1304.5566870000002,98.98429824778758,161.788
h2,2,3,1.25 × F2026,2034,3389.19,913.582,1304.5566870000002,98.87501327126974,161.079
h2,2,3,1.25 × F2026,2035,3367.38,915.713,1304.5566870000002,98.78608486943018,160.476
h2,2,3,1.25 × F2026,2036,3349.57,917.216,1304.5566870000002,98.71125792120654,159.98
h2,2,4,FMSY scenario,2027,3668.6,888.915,1304.5566870000002,99.60868220480324,489.215
h2,2,4,FMSY scenario,2028,3272.99,775.558,1304.5566870000002,99.44269788979918,446.64
h2,2,4,FMSY scenario,2029,2927.19,685.365,1304.5566870000002,99.10467583011845,426.939
h2,2,4,FMSY scenario,2030,2631.97,614.027,1304.5566870000002,98.4683814121512,417.149
h2,2,4,FMSY scenario,2031,2385.48,556.113,1304.5566870000002,97.40348831069798,410.231
h2,2,4,FMSY scenario,2032,2181.77,511.15,1304.5566870000002,95.69332840886989,402.354
h2,2,4,FMSY scenario,2033,2015.94,477.456,1304.5566870000002,93.18806876201764,393.865
h2,2,4,FMSY scenario,2034,1886.12,453.263,1304.5566870000002,90.02643514333984,385.295
h2,2,4,FMSY scenario,2035,1784.22,435.69,1304.5566870000002,86.45359990376805,376.914
h2,2,4,FMSY scenario,2036,1703.05,422.561,1304.5566870000002,82.71706180263484,368.931
h2,2,5,TAC scenario (supplied TAC),2027,3897.01,966.377,1304.5566870000002,99.63479538081613,167.27
h2,2,5,TAC scenario (supplied TAC),2028,3761.49,944.786,1304.5566870000002,99.53458477242306,167.27
h2,2,5,TAC scenario (supplied TAC),2029,3646.46,935.576,1304.5566870000002,99.3845633920352,167.27
h2,2,5,TAC scenario (supplied TAC),2030,3553.84,939.515,1304.5566870000002,99.16691663808874,167.27
h2,2,5,TAC scenario (supplied TAC),2031,3482.15,951.707,1304.5566870000002,98.89339222640525,167.27
h2,2,5,TAC scenario (supplied TAC),2032,3425.42,967.428,1304.5566870000002,98.58199891379836,167.27
h2,2,5,TAC scenario (supplied TAC),2033,3380.58,983.675,1304.5566870000002,98.25913483257041,167.27
h2,2,5,TAC scenario (supplied TAC),2034,3349.08,999.412,1304.5566870000002,97.96083417467352,167.27
h2,2,5,TAC scenario (supplied TAC),2035,3325.71,1013.32,1304.5566870000002,97.6955943284448,167.27
h2,2,5,TAC scenario (supplied TAC),2036,3306.04,1024.84,1304.5566870000002,97.45885138770194,167.27
